review_idx,cos_name,user_nm,rating,review
0,원더 세라마이드 모찌 토너,두치봉구,5,완전 가성비 최고 대용량 토너예요! 가격도 엄청 저렴한데 용량이 어마무시해서 스킨팩으로 아낌없이 쓰기에 너무 좋아요 성분도 크게 나쁜건 없는 것 같고 모찌 토너 이름답게 워터제형이지만 아주 수분감이 없지는 않고 촉촉한 편이예요 좀 가격대 있는 워터토너들은 스킨팩으로 막 쓰기엔 아까웠는데 이 제품은 가격이 너무 훌륭해서 신경쓰지 않고 막 써도 좋아요 
1,원더 세라마이드 모찌 토너,리뷰쓰는핑핑이,5,예전에 패드 너어어어무 만족해하며 썼던 기억이 떠올라서 구매해 본 토너입니다!! 아니 근데 가격 실화?! 넘 저렴해서 좋았고 용량도 큰데 작은 용량도 증정하더라구요? 심지어 완전 샘플 사이즈도 아니고 넉넉한 통.. 오와우 👍👍  게다가 물토너만 쓰다가 얘 쓰니까 영양 공급도 제대로 되는 느낌 들어요〰️ 넘나리 만족해하면서 쓰고 있습니다 굳굳굳 그리겨 에센스 따로 안 발라도 될 것 같은 느낌이라 ㅋㅋㅋ 체력적 정신적 여유가 되면 두 번 발라주고 크림 발라주고 마무리하고 있습니다 ㅎㅎ 기초 화장품 줄이고 싶다면 이 토너 강력 추천!!합니다😆💗
2,원더 세라마이드 모찌 토너,베리베리피치,5,이것민 바르고 화장한다는데 좋네요. 기존 토너보단 에멀젼 느낌이라 지성분들 이것만 바르고 여름에 화장하시면 좋을 것 같아요 향은 여자 화장품향료 냄새가 획 닙니디
3,원더 세라마이드 모찌 토너,냐람지,5,"벌써 n병째 재구매하는, 이제는 없어서는 안 될 필수템  지성인 나에게는 4계절 모두 사용가능하고, 여러번 레이어링할수록 피부에 수분감이 차는 게 느껴져서 7스킨이나 스킨팩용으로 정말 애용하고 있다💖  공병에 담으면 여행가서 이거 하나로도 어떻게든 전 단계 활용 가능할 정도 데일리로 아낌없이 사용중이고, 용량이 거대한데다 제품을 바닥까지 긁어 쓰기 좋은 병 타입이라 가성비도 최고  향은 은은한 플로럴 향이 느껴지는데, 쓰다 보면 무향인 제품이 아쉬울 정도로 향이 좋아진다!  끈적임 없이 쫀~득한 마무리감💦 ⚠️하지만 건성인 분들은 토너로 몇 번 레이어링 후에 보습장벽 크림을 덧발라주고 마무리하면 좋을 것 같고, 트러블성 피부인 분들 중 닦토를 즐겨하는 분들이라면 다소 수분감이 오버하거나 각질이 덜 닦인 느낌이 들 수도 있겠다"
4,원더 세라마이드 모찌 토너,헤헤헷잉,5,열분 이거 가성비 갑입니다 양만 믾은 것도 아니고 제품력도 좋습니다  여러번 챱챱 흡수하면 보습력 와따에요👍🏻  전 향도 좋더라구요..토너팩하기도 좋고 대용량이지만 이미 몇통 비웠어요
5,원더 세라마이드 모찌 토너,n.joy_kim,5,정말 놀라운 제품입니다.  작년부터 사용해 왔습니다.  정말 촉촉하고 건조하지 않은 피부로 만들어주는 제품이에요
6,원더 세라마이드 모찌 토너,복숭아새싹평가단,5,"유튜버가 좋다고 좋다고 극찬을 해서 속는셈 치고 구매해봤음.  근데 이거.... 요물이네? 가격대비 짱 좋음.  얇게 여러번 레이어드해서 발라주면 속건조를 꽤 잘 잡아준다    세안후 첫 단계에서 사용하는데 에센스같은 점성이 있는 제형이라 닦토로 사용하는 대신, 여러번 레이어드해서 바르는게 더 좋음.   얘 하나로도 속건조를 잘 잡아줘서 이거 다음 기능성 제품인 레티놀 순서로 발라줘도 피부가 마르는 느낌이 적다.   그래서 자주 손이 가는듯. 재구매 의사 있음.   짐승용량에 이정도 기능성이라면 구매 안 하는게 더 손해."
7,원더 세라마이드 모찌 토너,뚜껑아,5,가성비 좋아요 ㅋㅋ 무난무난해요 저한텐 살짝 따가운데 붉어지거나 트러블 생기진 않았어요  촉촉하니 좋아요 여름에는 이것만 발라도 굿
8,원더 세라마이드 모찌 토너,글로리#fQcQNA,5,"피부타입: 지성/민감성 결론: 가성비 최고…   물토너와 콧물토너의 중간제형이라고 보시면 돼요! 그래서 너무 건조하지도, 너무 답답하지도 않게 사용할 수 있었어요  지성이라 콧물 토너는 답답해서 물토너를 사용했는데 금새 줄어들고 금방 건조해져서 레이어링하기 가끔 귀찮을 때가 있더라구요 그래서 구매하게 되었는데 용량깡패.. 가성비 최고인 것 같아요 제형은 살짝 유분기있어서 한번 흡수시켜주니 지성피부인 저에겐 촉촉하게 잘 유지되었어요 솜에 넉넉하게 적셔 스킨팩으로도 사용할 수 있는데 피부상태에 따라 처음에는 짧게 하는 것 추천드려요! 저는 길게하면 뾰루지가 나서 잠깐 붙이고 닦아준답니다 영양이 필요한 날에 하면 좋아요"
9,원더 세라마이드 모찌 토너,낑주은,5,세라마이드 성분이 보습과 영양을 도와주고 히알루론산 & 판테놀 함유로 쫀쫀한 피부케어를 도와주고 병풀 추출물이 민감 피부 진정 케어를 도와줘요  화장솜에 토너를 듬뿍 적셔 민감하거나 달아오른 피부에 스킨팩으로 사용해도 좋아요  
10,원더 세라마이드 모찌 토너,로블록스수석,4,학생때 많이 썼던 토너임 진짜 말그래도 모찌같은 제형임 콧물? 같이 흐르는 제형에서 조금 더 모찌같은? 로션같이 쓰기 부담스러울때 이거 하나에 선크림 에센스 같은 제형이랑 같이 쓰면 피부표현 잘되고 너무 좋았음 트러블 효과는 잘 못본거 같지만 피부하나는 모찌같아짐
11,원더 세라마이드 모찌 토너,별소녀,5,모찌토너 가성비 갑이죠ㅎㅎ 저는 닦토 안하지만 닦토 하시는 분들이나 스킨팩 하는 분들은 꼭 구입하셔요 양이 많아 3월에 샀는데 아직도 쓰는게 단점....이지만 이 가격에 이 용량은 진짜 혜자입니다😁😁😁😁 제품이 확 좋다거나 그런건 아닌데 그래도 무난하게 잘 사용하고 있어요 물토너치곤 점성 있어서 지성인 분들 겨울에 쓰셔도 좋아요ㅋㅋ  추천합니다
12,원더 세라마이드 모찌 토너,뀰렐레,4,휘뚜루마뚜루 막바르기 좋은 토너 자극도 없어서 좋아요~  특별하지 않은게 장점이자 단점임ㅋ  그래도 가성비 면에선 대혜자
13,원더 세라마이드 모찌 토너,솜이쟝,5,양많고 순하고 가격 착하고 엄청 효과가 있다 이건 아니지만 단점이 없고 무난해서 5통째 쓰고있어용
14,원더 세라마이드 모찌 토너,따스한,5,솜에 묻혀서 쓰면 더 좋을 듯한 토너에요. 귀찮아서 수분보충용으로 손에 덜어 쓰고 있긴 하지만 스킨팩하듯 솜에 묻혀 사용하면 수분감이 더 채워질 듯 합니다. 엄청 순위가 높은 제품인데 왜 그런지 이해가 갈 정도예요. 부담스럽지 않은 제형인데 히알루론산때문에 촉촉함이 오래가요. 향은 산뜻하고 강하지 않아서 호불호는 크지 않을거라 생각됩니다. 양이 정말 많아서 오래쓸 수 있는데 가격도 비싸지 않아 가성비갑인 제품이예요.
15,원더 세라마이드 모찌 토너,soken,4,살짝 꾸덕한 제형에 수분감 가득한 토너네요! 그렇다고 끈적이거나 하진 않고 화장솜에 넉넉히 적신다음 가볍게 닦아내주듯 결정돈 후에 다시한번 레이어링 하는데요~ 그러고 나면 피부가 진찌 쫀득쫀득 수분머금은 느낌이 들어요~무엇보다 넉넉한 량과 가격이 너무 맘에 듭니다!!! 
16,원더 세라마이드 모찌 토너,냠냠굳,5,워낙 대용량이다보니 스킨팩 주구장창 해주고 치덕치덕 발라줘도 한가득 남아있는 마법 대용량임에도 가격이 너무 저렴해서 별 기대 안했는데 뭔가 막 엄청 좋다!!!! 이런건 아니지만 되게 순하고 촉촉해져서 무난하게 잘 사용중인 토너에요! 나름 보습력 좋아서 피부 쫀쫀해지는게 느껴져요
17,원더 세라마이드 모찌 토너,미누미누미누미누,5,대용량이라 너무 좋아요 흰색 색상에 약간의 점성이 있는데 보통 점성있는 제품은 피부에 스며드는게 더딘편인데 토니모리 원더 세라마이드 모찌 토너는 피부에 부드럽게 빠르게 흡수되요 대용량이랑 파팍 쓰기에 부담이 없어요
18,원더 세라마이드 모찌 토너,요몽이,4,"일단 양이 엄청 많아서 오래 두고 사용이 가능하고, 써도써도 안 줄어드는 것 같은 느낌이라 듬뿍듬뿍 바를 수 있어서 좋아요. 가격대도 엄청 착해서 가성비 토너로 아주 좋아요. 우유 같은 색이고 묽다기 보다는 살짝 점도가 있는 편이에요. "
19,원더 세라마이드 모찌 토너,간간슈슈,5,"가격이 싸서 사실 기대를 안 했었다.  근데 막상 써보니 너무 좋음. 아니, 내가 써본 토너 중 최고임.  이 토너만큼 촉촉하고 보습 꽉 채워주는 토너를 본 적이 없다. 다른 토너들은 바르면 금방 날아가는데, 얘는 그런 게 없다. 물토너와 달리 약간 점성이 있어서 바를 때도 편하다. (일반 물토너는 손틈 사이로 빠져나가서 바닥 난리남ㅋㅋ)  가격 대비 용량도 혜자라서 다 쓰면 재구매할 거다. 진짜 안 살 이유가 없는데? 학생 분들 토너 이거 쓰세요."
20,원더 세라마이드 모찌 토너,두더지킁킁,5,저렴한 가격인데 웬만한 토너 못지 않게 좋습니다.  닥토 하기에더 좋고 화장솜에 듬~뿍 묻혀서 팩하면 다음 날 피부가 쫀득해집니다.  이름처럼 모찌 피부가 되는 것 같아요.  저렴한 가격에 막 쓰고 싶은 토너로 추천합니다.
21,원더 세라마이드 모찌 토너,디라나지르,4,저렴해서 좋아요 지성에 가까운 복합성에게는 특별히 좋다고 느껴지진 않네요 환절기에 써보겠습니다
22,원더 세라마이드 모찌 토너,미라아랑,4,더모테라피 토너 알기 전까지 꾸준히 썼던 제품이에요!  화장솜에 듬뿍 묻혀서 닦아내도 좋고 손바닥에 덜어서 그냥 얼굴에 막 흡수시켜줘도 괜찮았어요. 번들거림 없이 피부 속건조를 잡아주는 느낌이라 화장 전에 써도 괜찮고 몸에 막 퍼붓기도 좋아서 쭉 애용했습니다. 더모테라피 토너보다는 살짝 더 쫀쫀하고 보습감이 느껴지는 제형이에요.  지금은 더모테라피에 정착해서 다시 돌아갈 일은 없지만... 가격 대비 제품력이 월등히 좋기 때문에 저렴하게 막 쓸 토너 찾는 분들께 추천합니당!
23,원더 세라마이드 모찌 토너,케갤,4,"닦토에 짱,,  건조하지도 않고 가격도 저렴해서 부담없이 팩으로도 사용중입니다"
24,원더 세라마이드 모찌 토너,heeya723,5,가성비  좋은 토너예요 할인할때 쟁여두고쓰기 너무좋아요 건성이라 일반 물토너들보다 좋더라구요 가성비좋으니 그냥 막 쓰기도좋고 꾸준히 인기있는 이유가 있지요
25,원더 세라마이드 모찌 토너,디두손,5,가성비 좋고 촉촉해서 5통정도 사용한 거 같아요 ! 토니모리도 기초를 잘한다고 느꼈던 화장품 !
26,원더 세라마이드 모찌 토너,하늘haneul,5,정말 20대 피부 건강힐 때 잘 쓴템 무난한데 크리미해서 겨울에 퍽퍽 발라 2중 레이어 해주면 기초 크게 안해도 잘 먹템이였음 화장솜보다 손과 궁합이 좋고 한번보다 두번 세번 올리는게 이 스킨을 극대화할 수 있음
27,원더 세라마이드 모찌 토너,mingming_,4,촉촉해요🤍 보습감이 느껴지는 토너같긴 한데 워터리한 텍스처라서 완전 산뜻하고 가벼웠어요 전 닦토랑 스킨팩 등으로 사용했는데 속건조 잡 히고 그래서 좋았습니당ㅋㅋㅋ
28,원더 세라마이드 모찌 토너,글로리#fvQigG,3,정~~~말 무난 그 자체예요 가성비 훌륭하고요 닦토용으로 샀는데 닦토는 물토너가 좋은듯해서 잘 맞진 않았고 건조해서 스킨 잔뜩 머금고 싶을 때 몸에도 무겁지 않게 처벅처벅 다 발라버리고 싶을 때 좋습니다
29,원더 세라마이드 모찌 토너,달송캣,5,완전 물같은 제형도 아니고 콧물제형이라 금방 안날라가고 좋아요 진짜 피부 쫀쫀해져요
30,원더 세라마이드 모찌 토너,빨간망토차차차,5,무난하게 쓰기 좋은거 같다 이런말은 뭣하지만 약간 흐르는 콧물제형같다고나 할까 유분기도 많지않은거 같아서 지성도 괜찮을듯하지만 건성에 가장 좋을거 같은 스킨인거 같다 향도 별달리 없는거 같아서 향에 예민한 나는 좋은거 같다
31,원더 세라마이드 모찌 토너,글로리#fsi3yB,4,저렴한 가격에 보습력도 좋고 가볍지 않은 콧물제형의 토너에요!! 자기 전에 바르는 토너로 좋고 수분충전하기에 좋은 토너에요 뭔가 기름이 많이올라오거나 너무 더운날엔 쓰기에 무겁고 겨울이나 건조할 때 쓰기 더 좋은거같아요!
32,원더 세라마이드 모찌 토너,화장품좀알려줘,4,가격이 저렴하고 수분감과 유분이 아주 살짝 함유된느낌 스킨팩하기좋아요. 
33,원더 세라마이드 모찌 토너,을미,4,얼굴에 열감도 낮춰주고 토너 제형이 약간 쫀쫀한 느낌이 있어서 얼굴에 탄력을 탱탱하게 넣어준 느낌이 듭니다 그리고 유분감이 적당해서 기름지지 않고 산뜻하게 마무리돼서 데일리 하게 쓰기 추천 드립니다  
34,원더 세라마이드 모찌 토너,감자의세상,5,패드로 화장 전 간단하게 팩 하는 용도로 사용하는 제품입니다 콧물제형이지만 크게 끈적거리진 않아서 항상 사용하고 있습니다 ㅎㅎ
35,원더 세라마이드 모찌 토너,gowks,5,토니모리인줄 모르고 올리브영 샀는데 완전 만족해요 촉촉하고 진짜 모찌해요 건성 추천템입니다
36,원더 세라마이드 모찌 토너,김꾸까링,5,어린 친구들이  사용하기 좋은 가성비 잡은 템.  드라마틱한 효과는 없지만 촉촉하긴 해요.  크림스킨 가성비템처럼 나온 느낌?  스킨 토너 화장품 효과에 큰 욕심이 없다면 또 구매해도 좋아요.   양이 진짜 많아서 낭비하며 써도 될 정도입니다 ㅋㅋ  
37,원더 세라마이드 모찌 토너,글로리#f9CkDR,2,바르고 따가웠어요 제형이 약간 미끌미끌해서 보습에는 좋을듯 합니다 바르고나서 건조하게 당기는 느낌이 없어요
38,원더 세라마이드 모찌 토너,글로리#fbKSaW,5,건성 피부에 구원템입니다 ㅜ ㅜ ㅜ 피부관리가 너무 귀찮은 프로귀찮러지만 겨울만되면 속건조가 미쳐서 피부가 진짜 쩍쩍 갈라진다는 느낌을 24시간 내내 느끼며.. 밖에 나가서 조금이라도 히터바람이 얼굴을 후려친다? 그러면 바로 사막 매마른 땅이걸랑요;; 근데 그 때 나타난 구원템.. 제가 크림이랑 크림 다 발라봤는데 속건조에는 토너더라구여 크림 아무리 발라봤자 속까지 침투안되는 느낌 아시져 그런 사람들 다들 주목.. 씻고 나오자마자 닦토 한 번 하고 원하는 촉촉함이 될 때 까지 흡토 갈겨주세요!(전 심할땐 5번 넘게도 합니다..) 대신 완벽하게 흡수될 때 까지! 끝나면 위에 크림 덧바르고 오일까지 하면 피부장벽 튼튼 완벽입니다 심지어 대용량에 싸다? 미치죠 평생 팔아주세요
39,원더 세라마이드 모찌 토너,글로리#NaoFxP,4,"예전에 잘 썼던 앰플 토너가 생각나서 샀는데 확실히 좋네용  이름을 정말 잘 붙인 게 첫단계부터 보습이 되서 피붓결이 모찌처럼 촵챱 부드러워져요 피부결 정리되는 게 제일 좋았던 점인 거 같아요 다만 겨울이 지나서 그런지 좀 더 유분기가 올라오는 느낌ㅠ이 없지 않아 있어서 요즘은 손이 잘 안가네용,, 겨울에 춥고 건조하고 히터틀어서 피부가 자꾸 텃을 때는 기초부터 촉촉하게 잡아줘서 너무 잘 썼긴 합니당 건조해서 피부가 예민해져있을 때는 진정효과도 봤어요  제형은 물토너보다는 좀 더 점성이 있는 제형인데 또 발릴 때는 물처럼 발려요 전 향이 되게 좋았는데 뭔가 새콤한? 화장품 향이 납니다 근데 전혀 거부감 들만한 향이 아니라서 오히려 좋았어요  제가 수부지라 그런지 날씨가 더워지니까 좀 기름기가 올라오는 거 같아 요즘은 안사용하지만 겨울에는 잘 썼던 제품이에요 건성 분들은 사계절 내내 잘 쓰실 것 같다고 느꼈습니당 흡토나 팩토 추천해요!! "
40,원더 세라마이드 모찌 토너,져니ㅡ,4,"✔️피부타입: 중건성/ 속건조/ 민감성 피부 ✔️제형: 물 스킨 제형 ✔️발림성: 촉촉하게 잘 발려요.  ✔️제품설명: -세라마이드 5,000 ppb 함유  -보습+영양+진정 (히알루론산 & 판테놀 & 병풀 추출물)  -민감성 피부 자극 테스트 완료  -인공향료/ 인공색소/ 동물성원료/ PEG계면활성제 X  -화해 2년 연속 위너, 글로우픽 위너 선정, 올리브영 실시간 랭킹 1위 달성  ✔️사용감:  모찌 비건 토너를 잘 사용했는데, 오리지널 세라마이드 비건 토너도 사용해보았어요!  두 제품을 비교했을 때 모찌 비건 토너는 점성 있는 콧물 제형이라면, 오리지널 세라마이드 비건 토너는 좀 더 묽은 물스킨 제형이라서 닦토나 7스킨법 활용도 가능해요~  모찌 비건 토너가 영양감이 더 느껴지는 겨울용이라면,  세라마이드 모찌토너는 사계절 사용하기 좋을 것 같아요!  끈적이지 않고 금세 흡수되면서 촉촉함이 느껴져요. 자극 없이 순하고, 피부가 진정되는 느낌이에요~  대용량 토너라 부담 없이 듬뿍 바를 수 있어 좋아요! 닦토 / 7스킨법 / 스킨팩 / 미스트로 활용 가능해요.  ✔성분/ 트러블유무:   모공 막는 성분이나 티트리 성분에 민감한 피부이고, 안맞으면 바로 알러지가 나는 예민한 피부에요~ 민감성 피부 자극 테스트를 완료한 제품답게 트러블이 없었고 순하게 느껴졌어요."
41,원더 세라마이드 모찌 토너,밍사원,4,저렴하고 양많고 가성비 좋아요. 흡수 잘되고 스킨 레이어링하면 쫀득한 피부 되어요. 대학생때 인터넷으로 대용량으로 많이 샀던 기억이 있어요!
42,원더 세라마이드 모찌 토너,YWL,5,"대용량에 쫀득한 제형, 그리고 합리적인 가격까지 특별히 부족함 없는 제품입니다. 베스트셀러인데는 다 이유가 있는거 같아요! 꾸덕하지도 너무 묽지도 않아 넘 만족합니다!"
43,원더 세라마이드 모찌 토너,호에엥이,4,진짜 저렴한 가격에 잘 쓰고 있어요. 토너는 성분이 다 비슷하다고 하서 가격 저렴한 것으로 골랐어요. 
44,원더 세라마이드 모찌 토너,글로리뺌,5,샵에서 쓰는 템이라길래 정말 믿고 쓰는 템 일단 가성비가 좋은 게 최대 장점!!! 수분감 많아서 좋고 팩토하자마자 얼굴이 시원해지는게  정말 얼굴로 느껴짐!!!! 그래서 정말 잘 사용합니다…..❤️ 토니모리 사랑합니다……정말루….
45,원더 세라마이드 모찌 토너,모찌언니야,5,가격대비 대용량으로 너무 대만족이에요 화장수에 듬뿍 적셔서 올려두면 팩 대용으로도 좋고 화장 정말 잘 먹습니다!
46,원더 세라마이드 모찌 토너,ae밥수니,4,"초대용량인데 가격도 저렴해서 정말 가성비 갑이에요! 조금 아쉬운 점은 주로 토너팩을 하려고 구매했는데, 이 토너로 팩을 하고 나면 수분 공급은 되지만 겉도는 유분이 좀 많아서 화장 전에 하기는 어려워요 ㅠ  그렇지만 대용량, 수분 공급, 피부를 쫀쫀하게 만들어준다는 점이 만족스럽기에 4점을 드립니다!"
47,원더 세라마이드 모찌 토너,하암1,5,일단 대용량에 합리적인 가격으로 부담이 없어서 좋았어요. 스킨팩할 때 용량 적고 비싼 토너는 쓰기 아까운데 이 제품은 대용량이라 팍팍 써도 안 아깝고 스킨팩해주고 나면 피부가 시원해지고 촉촉해져요.  평소에 기초케어할 때도 두세번 정도 흡수시켜주면 이 제품이랑 크림만 발라도 피부가 건조하지 않았어요. 앰플까지 써주면 말 그대로 모찌모찌한 피부 완성ㅎㅎ  미스트 공병에 담아서 틈틈이 뿌려줘도 좋아요. 화장한 후에는 뿌리면 무너질 수 있으니 저는 집에서 생각날 때마다 미스트처럼 뿌리는데 이렇게 매주 하다보면 피부가 촉촉하고 부드러워져요.  그런데 이렇게 마구 팩하고 바르고 뿌려도 용량이 많아서 오래오래 쓸 수 있다는 점... 기본템처럼 계속 재구매하면서 쓰게 되는 제품이에요
48,원더 세라마이드 모찌 토너,우기7,5,기대 안했는데 생각보다 속건조를 잘 잡아줘서 환절기에 쓰기 좋은 제품이었습니다 끈적거림도 없어서 닦토해도 괜찮았어요 촉촉한 토너 찾으시는 분들한테 추천해요
49,원더 세라마이드 모찌 토너,솔직그잡채,5,☁ 피부가 살짝 민감한 편인데 가렵거나 피부에 뭐가 올라오지 않았어요 !  ☁ 쫀존한 하고 피부를 촉촉하게 유지시켜줘요.  ☁ 물같은 제형 토너를 선호하는데 제형도 만족했어요  ☁ 가격도 저렴하고 양도 많아서 팍팍 쓰기 넘 좋았어용 ¨̮
50,1025 독도 토너,카카오밀쿠,5,이토너만 쓰면 톤업되고 맑아져요  평생 쓰고픈 토너입니당 추천해요
51,1025 독도 토너,글로리#fWFCAl,5,수부지라 수분토너가 필수인데 독도토너로 챱챱발라주기도 하고 스킨팩하기도 좋고 활용성이 좋은 스킨입니다.
52,1025 독도 토너,anastasia,3,For me it’s just a toner. I haven’t noticed any skin changes or improvements. I was using it just a step of a skin care. I cannot say I would buy it again. But it was just fine to use it once. 
53,1025 독도 토너,rlaakswl,5,독도 토너 유명해서 한번 구매해봤어요 !!!! 속건조 잡아주고 촉촉하니 좋아용 왜 유명한지 알 것 같은 .... !!!!! 라운드랩 토너 짱입니당 ❤️❤️❤️❤️
54,1025 독도 토너,달달한로맨스,5,아이가 독도토너가 여름에 좋다고 사달래서 사용중인데 벌써 4통째 사용중이에요! 아주 순하고 저자극이라 사춘기아이들 사용하기 좋네요!
55,1025 독도 토너,내픽핑,5,매우 묽은 토너인데 피부에 쫙 흡수되는 느낌이라 여러겹 발라주기도 좋고 피부 속까지 보습을 해주는 느낌이라서 속건조에 효과적인 제품인 것 같아요. 솜에 뿌려서 팩처럼 해주기도 좋아요 용량이 커서 더 좋아요
56,1025 독도 토너,컨페티,4,완전 물같은 토너입니다 끈적이지 않는 산뜻한 사용감이고 토너가 촉촉하고 피부에 흡수가 잘 되는 편이에요 성분도 순해서 피부에 자극가거나 트러블이 나지도 않고 부담없이 사용하기에 좋아요 무난한 물 토너의 정석같은 제품이에요
57,1025 독도 토너,글로리#fTa4nj,1,"젠짜 민감성,여드름 피부는 안맞을수도 있겠다고 느껴졌어요 저는 이거쓰고 피부 뒤집너져서 바로 버렸어요 사용해본 토너중엔 제일 별로 였어요"
58,1025 독도 토너,Ellenia,4,여드름에 좋다길래 사봤는데 엄청 효과를 보진 못했지만 조금 진정은 된게 눈에 보였어요. 향은 무향이고 되게 순해서 복합성인 저한테도 잘 맞았어요.
59,1025 독도 토너,고라파다닭,4,정말 무난하고 순한 토너입니다. 큰 기능없이 수분감을 채워주는 용도로 적절한 것 같고 물 제형이라 손에 덜어 흡수하는 것 보다 화장솜에 덜어 닦토를 해주는 용도로 수월한 것 같습니다. 
60,1025 독도 토너,n.joy_kim,4,건조한 피부를 가진 사람에게는 추천하지 않합니다 이 제품은 큰 도움이 되지 않습니다
61,1025 독도 토너,주갈,4,가성비 좋은 물 토너인 것 같아요 가볍게 수분 채워주기 좋은 제품이에요 다만 아쉬운 점은 보습력이 뛰어나지 않은 것 같아요
62,1025 독도 토너,Lency,4,되게 순하고 촉촉했어요. 건성인데 수분보충이 잘되는 느낌이였고 끈적임 전혀없고 흡수도 빠른 편이였어요! 솔직히 여드름 진정은 잘 모르겠지만 수분보충엔 좋은것 같아요. 건성이 아니여도 사용하기 좋을것 같아요!
63,1025 독도 토너,가나나,4,딱 무난한 물제형 토너인것 같아요 평소에 세안후 닦토를 하는편인데 이때 써주기에 좋은것 같습니다 성분이 순해서 딱히 트러블이 나는것도 없었고 각질제거도 조금 되는것 같아서 괜찮았어요 쓰면서 피부에 엄청난 효과가 있는것은 아니지만 피부결을 정리하기에 좋은것 같아요 무거운 기초제품을 별로 좋아하지 않는데 이 제품은 바를때 가볍고 산뜻하게 발려서 특히 지금같은 날씨에 손이 잘 가는것 같아요ㅎㅎ 저처럼 가볍고 촉촉한 토너를 원하시는 분들에게는 무난히 마음에 들것 같습니다!! 특히 가격에 비해서 용량이 은근 많아서 한번 사면 오랫동안 쓰는것 같아요 무난한 기초제품으로 추천드립니다!
64,1025 독도 토너,너구리미래아내,4,걍 진짜 수분 토너 그자체 솔직히 수분도 잘 모르겠고 ㄹㅇ 토너의 정석 느낌임 흡수도 빠르고 촉촉하고 겁나 순하고 그냥 물토너. 이거라 바를때마다 뭔가 신기함
65,1025 독도 토너,용용융융,5,제가 써 본 토너 중에 가장 좋은 것 같아요 ! 피부가 되게 예민한 편이라 웬만한건 잘 안맞는데 독도 토너는 바르고 나면 피부가 촉촉해 지는건 물론이고 피부 진정효과가 정말 컸어요 ! 이 제품 사용하고 잡티가 정말 많이 가라앉았답니다 😻
66,1025 독도 토너,lliillll,4,그냥 무난하니 쓰기 좋아요  제형은 완전 물같고 워낙 순해서 그런가  큰효과는 못 느꼈어요  그냥 수분 채워주는 용으로  화장전에 기초템으로 쓰면 좋을것 같아요
67,1025 독도 토너,띠눈,4,"가볍고, 무난하게 사용하고싶을때 딱 좋은 토너! 물 토너인 제품이고, 닦토로 사용하기 너무 좋은 제품이에요 요즘 같은 날씨 이렇게 더울때, 세안후에 닦토 필수인데 이 제품이 거기에 딱 적합해요!!!  너무 잘 사용중인제품이고, 저는 500미리 짜리 대용량 쓰고있는데 금방 사용할 것 같습니다."
68,1025 독도 토너,크림수프,5,해양심층수라고해서 피부를 편안하게 해주는거같아요 용량도 크고 가격도 괜찮아서 닦토하기에도 좋고 수분팩하기에도 좋아요 제형 자체도 워터리해서 여름에 바르기에도 답답하지않아요
69,1025 독도 토너,dptj3451,4,가격에 비해 양이 진짜 많아여 토너팩으로도 사용하기에 양이 진짜 많아서 좋고 그냥 다양게 사용해도 계속 쓸만큼 양이 많아요 진정이 잘 된다는 느낌은 잘 못들엇는데 수분감은 좋은것 같아요 가성비템!!!!!
70,1025 독도 토너,킬킬니트광,3,한동안 이게 중고딩 사이에서 유명한 저자극 토너여서 친구도 순하도 좋다길래 사봤는데 흠 ;ㅁ; 개인적으로는 별로 였어요 기대이하였음!ㅜㅜ  피부타입: U존 수부건성 T존 수부지성 모공 여드름 홍조 피부  이것도 아누아랑 마찬가지로 그냥 물 같은 느낌..? 아무리 그래도 효과라도 있어야 되는데 진짜 쓸때마다 돈이 날아가는 느낌이 나요‘ㅡ’ 이게 토너를 쓴건지 물을 쓴건지 진짜 순하긴합니다만 다시는 안 쓸 듯 한 토너 확실히 초딩이 발라도 될 만큼에 순함이여서 그건 강점인 듯 피부가 뭘 쓰든 뒤집어진다? 하면 이거 쓰면 될듯 합니다! 지성한테는 굳이 안 쓸 듯한 토너 여드름 모공 트러블에는 효과는 1도 없습니더 굳이 효과를 뽑자면 약간의 수분충전..?
71,1025 독도 토너,에나세브,5,이렇게 까지 저자극인 토너 첨 봤어요 순하다고 하는 토너 다 써봤는데도 얼굴에 안 맞아서 고민했는데 독도 토너 사고 나서 고민 싹 사라졌어요 ㅋㅋ 엄청 순해서 동생들 발라줘도 될거 같아용 ( 제 기준에 따른 의견이므로 함부로 따라하진 마세요) 엄청 잘 쓰고 있어용 2통째인건 안 비밀~
72,1025 독도 토너,베이비유진,5,순해서그런지 효과를 못 느꼈어요 진정같은건 없고 그냥 수분 채우기 좋은거 같아요 화장하기 전에 쓰면 각질케어는 되는 거 같아ㅛㅇ
73,1025 독도 토너,멍몽뭉이,5,히알루론산 안맞는 분들께 강추하는 토너입니다!! 순해서 막 바르기 좋고 정말 촉촉해요ㅎㅎ 
